# Psi_N                  T                      rho                    pres                   zj                     R                      Er                     B_theta                currdens               B_tor                  V_ExB                  dprof                  zkprof                 eta_T                  r_minor                
# time step #000000
  8.433147777758387E-02  8.398977647385797E-02  9.182060566938537E-01  7.711992147560141E-02  4.157624661502147E+00  1.693472797621419E+00  0.000000000000000E+00  1.634479701312133E-01  2.451134342539231E+00  2.504363138347441E+00  0.000000000000000E+00  7.553662674920865E-07  3.006033167159161E-07  3.896687723953037E-08  1.329618774038662E-01
  8.766672770923600E-02  8.328926746058628E-02  9.153789193537579E-01  7.624123965924723E-02  4.137802971652531E+00  1.692973041178713E+00  0.000000000000000E+00  1.664249305686988E-01  2.440036191100274E+00  2.505334722803396E+00  0.000000000000000E+00  7.640723815636756E-07  2.816602088541093E-07  3.945950908431888E-08  1.355441735436645E-01
  9.100228495829901E-02  8.258836865722778E-02  9.125812395144565E-01  7.536859585646323E-02  4.117645831471412E+00  1.692470266552044E+00  0.000000000000000E+00  1.693321381057939E-01  2.428740850137863E+00  2.506311702533208E+00  0.000000000000000E+00  7.726663737308447E-07  2.635492566171524E-07  3.996289206019115E-08  1.380814372496701E-01
  9.434077837437478E-02  8.188665767803482E-02  9.098107463610849E-01  7.450136115861698E-02  4.097160610067159E+00  1.691967398609558E+00  0.000000000000000E+00  1.721766143585208E-01  2.417248840673041E+00  2.507290157503713E+00  0.000000000000000E+00  7.810048174530634E-07  2.473653533671559E-07  4.047767172606960E-08  1.405790558398766E-01
  9.767535053547202E-02  8.118574408518799E-02  9.070730364489321E-01  7.364139942476203E-02  4.076370327672131E+00  1.691463743086197E+00  0.000000000000000E+00  1.749458479226332E-01  2.405574562519055E+00  2.508270416982545E+00  0.000000000000000E+00  7.891899454915585E-07  2.326834235031921E-07  4.100299483878103E-08  1.430335747580513E-01
  1.010101582563926E-01  8.048497267411721E-02  9.043644276733286E-01  7.278774627168663E-02  4.055274591173566E+00  1.690961738674995E+00  0.000000000000000E+00  1.776457114382450E-01  2.393714894687178E+00  2.509249253301679E+00  0.000000000000000E+00  7.972335017144189E-07  2.194692479090443E-07  4.153966983558926E-08  1.454506117996489E-01
  1.043413206500257E-01  7.978536173643630E-02  9.016878031821970E-01  7.194148757236009E-02  4.033914614164486E+00  1.690458787167555E+00  0.000000000000000E+00  1.802772323974088E-01  2.381696622543619E+00  2.510230238403163E+00  0.000000000000000E+00  8.051156893455019E-07  2.083864610120048E-07  4.208723686587320E-08  1.478299581707945E-01
  1.076726421490975E-01  7.908629715873339E-02  8.990398600517305E-01  7.110173355171116E-02  4.012289579649646E+00  1.689955667528668E+00  0.000000000000000E+00  1.828475185398134E-01  2.369518734582803E+00  2.511212531911761E+00  0.000000000000000E+00  8.129337456835737E-07  1.981981694273434E-07  4.264649843247627E-08  1.501752715660584E-01
  1.110044789097312E-01  7.838787474154500E-02  8.964201449633329E-01  7.026847006314786E-02  3.990419802369221E+00  1.689452924694248E+00  0.000000000000000E+00  1.853602257478087E-01  2.357192159653586E+00  2.512195379343324E+00  0.000000000000000E+00  8.207715388745974E-07  1.906597546389099E-07  4.321772551848596E-08  1.524894590827962E-01
  1.143355087671904E-01  7.769052855242338E-02  8.938295343899573E-01  6.944208898717011E-02  3.968324803335978E+00  1.688948543259573E+00  0.000000000000000E+00  1.878172716090987E-01  2.344730875407367E+00  2.513181585542385E+00  0.000000000000000E+00  8.286345034504824E-07  1.836914117256633E-07  4.380090943086499E-08  1.547724886721607E-01
  1.176683206977437E-01  7.699386244363665E-02  8.912658865569774E-01  6.862200309817776E-02  3.946010803524753E+00  1.688444675153408E+00  0.000000000000000E+00  1.902236293194121E-01  2.332136057147733E+00  2.514168253906828E+00  0.000000000000000E+00  8.367254598805556E-07  1.792154453029303E-07  4.439674002908338E-08  1.570278406023013E-01
  1.210006228647776E-01  7.629849124499045E-02  8.887308579994817E-01  6.780882361520411E-02  3.923501613373572E+00  1.687938884839646E+00  0.000000000000000E+00  1.925803405886948E-01  2.319424265158498E+00  2.515158796669035E+00  0.000000000000000E+00  8.449017326525284E-07  1.754947999031235E-07  4.500505708055622E-08  1.592552478226392E-01
  1.243358298750343E-01  7.560382991184580E-02  8.862217744584096E-01  6.700176032777061E-02  3.900791757636853E+00  1.687432116294871E+00  0.000000000000000E+00  1.948925102910957E-01  2.306591259505925E+00  2.516152104223428E+00  0.000000000000000E+00  8.532869989441487E-07  1.735309188419173E-07  4.562675131403460E-08  1.614580510456943E-01
  1.276739496436881E-01  7.490999994592540E-02  8.837386135042987E-01  6.620085951779252E-02  3.877892108421421E+00  1.686923636463958E+00  0.000000000000000E+00  1.971616803693259E-01  2.293644186801938E+00  2.517149231942876E+00  0.000000000000000E+00  8.618439144525277E-07  1.726754302568475E-07  4.626212172925107E-08  1.636374757170273E-01
  1.310135437179702E-01  7.421745263879206E-02  8.812823980049529E-01  6.540653466745468E-02  3.854825629560455E+00  1.686415306964156E+00  0.000000000000000E+00  1.993809950316472E-01  2.280594772571630E+00  2.518147258851512E+00  0.000000000000000E+00  8.705680473725777E-07  1.729236734163691E-07  4.691116045652017E-08  1.657934646569328E-01
  1.343447369385034E-01  7.352839926392431E-02  8.788600586879566E-01  6.462117332234270E-02  3.831672025742003E+00  1.685906747806315E+00  0.000000000000000E+00  2.015459130155354E-01  2.267489376816434E+00  2.519146281598847E+00  0.000000000000000E+00  8.795136963144648E-07  1.745113092727834E-07  4.757212762165817E-08  1.679213381459735E-01
  1.376786678978215E-01  7.284068856296211E-02  8.764631774988919E-01  6.384218138004231E-02  3.808367636356813E+00  1.685398887819197E+00  0.000000000000000E+00  2.036660367600648E-01  2.254290606685628E+00  2.520145387907108E+00  0.000000000000000E+00  8.885692084551329E-07  1.766644730173431E-07  4.824742932316044E-08  1.700284270549128E-01
  1.410103582834963E-01  7.215549592243763E-02  8.740951170897199E-01  6.307076668848632E-02  3.784957495313098E+00  1.684890799481292E+00  0.000000000000000E+00  2.057407142295451E-01  2.241025106592946E+00  2.521145886607848E+00  0.000000000000000E+00  8.979312103594594E-07  1.801412490958770E-07  4.893629872230897E-08  1.721135741177919E-01
  1.443408118056316E-01  7.147275155856872E-02  8.717549216210896E-01  6.230672296459961E-02  3.761442351632165E+00  1.684381781025067E+00  0.000000000000000E+00  2.077724631772270E-01  2.227694336606999E+00  2.522148828256459E+00  0.000000000000000E+00  9.073589881354078E-07  1.838613875980223E-07  4.963916753851822E-08  1.741770128512697E-01
  1.476715887315248E-01  7.079226723955953E-02  8.694413038377875E-01  6.154972116193055E-02  3.737823375236697E+00  1.683872455596465E+00  0.000000000000000E+00  2.097637893100183E-01  2.214298198159874E+00  2.523153378179307E+00  0.000000000000000E+00  9.171026209026206E-07  1.884878367480880E-07  5.035661283329352E-08  1.762218633950765E-01
  1.510049048103072E-01  7.011371949325373E-02  8.671525983131689E-01  6.079929407111141E-02  3.714093103611423E+00  1.683363320095519E+00  0.000000000000000E+00  2.117174607692342E-01  2.200832369668112E+00  2.524158897649539E+00  0.000000000000000E+00  9.269563493132051E-07  1.932930011867803E-07  5.108939179475827E-08  1.782489714874109E-01
  1.543304353564832E-01  6.943932415499457E-02  8.648956883587627E-01  6.005777210095362E-02  3.690329943197527E+00  1.682851576757193E+00  0.000000000000000E+00  2.136290867842040E-01  2.187344423484130E+00  2.525169114924525E+00  0.000000000000000E+00  9.370243930417529E-07  1.984919139406353E-07  5.183546693373372E-08  1.802538517722481E-01
  1.576709508579187E-01  6.876458731009534E-02  8.626550796235989E-01  5.932012058167527E-02  3.666385693577407E+00  1.682341325701141E+00  0.000000000000000E+00  2.155126782215577E-01  2.173745326779729E+00  2.526179052126027E+00  0.000000000000000E+00  9.472984934965186E-07  2.039531991472285E-07  5.260027100899647E-08  1.822500514307880E-01
  1.609997354408610E-01  6.809501928569198E-02  8.604486186750925E-01  5.859226531891956E-02  3.642450201863370E+00  1.681826725090689E+00  0.000000000000000E+00  2.173551249249418E-01  2.160149744590837E+00  2.527196119403804E+00  0.000000000000000E+00  9.576965069387694E-07  2.096332152405891E-07  5.337799075499138E-08  1.842226336644151E-01
  1.643410670232014E-01  6.742584434439865E-02  8.582601262908933E-01  5.786891371747051E-02  3.618365187188493E+00  1.681313123887596E+00  0.000000000000000E+00  2.191713150860312E-01  2.146461637019922E+00  2.528213661130454E+00  0.000000000000000E+00  9.683912303973589E-07  2.156268838973189E-07  5.417459240639322E-08  1.861865601953219E-01
  1.676796939042605E-01  6.676024259701485E-02  8.560996169142112E-01  5.715341814776977E-02  3.594243412784937E+00  1.680797086741900E+00  0.000000000000000E+00  2.209507965964634E-01  2.132749826382492E+00  2.529235731385259E+00  0.000000000000000E+00  9.791872368550770E-07  2.217404661543516E-07  5.498679208106465E-08  1.881329848906844E-01
  1.710158006577310E-01  6.609830116571155E-02  8.539667081808395E-01  5.644574870078146E-02  3.570109171006053E+00  1.680281364673331E+00  0.000000000000000E+00  2.226922099997711E-01  2.119025281049185E+00  2.530258516919321E+00  0.000000000000000E+00  9.903043189653519E-07  2.281992665140453E-07  5.581485449424154E-08  1.900632326793859E-01
  1.743523695404852E-01  6.543953820516141E-02  8.518592042661521E-01  5.574527298429531E-02  3.545943499505908E+00  1.679765679937821E+00  0.000000000000000E+00  2.243984993067700E-01  2.105278393198148E+00  2.531282379984234E+00  0.000000000000000E+00  1.001496262197242E-06  2.347387589379802E-07  5.665978269855950E-08  1.919789929839169E-01
  1.776836956277039E-01  6.478518096422005E-02  8.497804092995865E-01  5.505317763341368E-02  3.521799134663024E+00  1.679249989798659E+00  0.000000000000000E+00  2.260682677041461E-01  2.091538751500672E+00  2.532307159904474E+00  0.000000000000000E+00  1.012994889408291E-06  2.416284965073630E-07  5.752037767976042E-08  1.938782827715335E-01
  1.810153966158656E-01  6.413422291639982E-02  8.477265382665281E-01  5.436828281522661E-02  3.497637599854142E+00  1.678734404730416E+00  0.000000000000000E+00  2.277056363470976E-01  2.077785090010424E+00  2.533332976210055E+00  0.000000000000000E+00  1.024592965658630E-06  2.486301953638166E-07  5.839833807594170E-08  1.957638882377728E-01
  1.843446738891900E-01  6.348730874812043E-02  8.456990885511139E-01  5.369115918009453E-02  3.473488230207070E+00  1.678218496457784E+00  0.000000000000000E+00  2.293103121544360E-01  2.064034039272449E+00  2.534360364601218E+00  0.000000000000000E+00  1.036406351183476E-06  2.558802515060260E-07  5.929319694874007E-08  1.976358016426753E-01
  1.876752474361364E-01  6.284381210820969E-02  8.436955949290177E-01  5.302104748148852E-02  3.449328352031815E+00  1.677701922588537E+00  0.000000000000000E+00  2.308851813972958E-01  2.050273078782565E+00  2.535390118936529E+00  0.000000000000000E+00  1.048439326406861E-06  2.633028889069549E-07  6.020623386833563E-08  1.994953264810133E-01
  1.910055677423630E-01  6.220412985946660E-02  8.417168302507730E-01  5.235826305127202E-02  3.425174193151443E+00  1.677184182320097E+00  0.000000000000000E+00  2.324302245030964E-01  2.036512080840308E+00  2.536422774564599E+00  0.000000000000000E+00  1.060683804066088E-06  2.708926888848453E-07  6.113732244594959E-08  2.013429858024079E-01
  1.943369172765402E-01  6.156811055626811E-02  8.397618857335241E-01  5.170255265950901E-02  3.401024192441786E+00  1.676666162322674E+00  0.000000000000000E+00  2.339470779015125E-01  2.022749284412324E+00  2.537457279636921E+00  0.000000000000000E+00  1.073524084896803E-06  2.787029467523789E-07  6.208711855858269E-08  2.031794955384250E-01
  1.976703351133199E-01  6.093565287951951E-02  8.378300448089814E-01  5.105372081950030E-02  3.376872757659031E+00  1.676146336428189E+00  0.000000000000000E+00  2.354368275367175E-01  2.008983008672775E+00  2.538495834595873E+00  0.000000000000000E+00  1.086624416995347E-06  2.866109250004993E-07  6.305623567909278E-08  2.050054478452485E-01
  2.010042119729866E-01  6.030715659972811E-02  8.359221407061926E-01  5.041208748248894E-02  3.352739930104689E+00  1.675625493812861E+00  0.000000000000000E+00  2.368997069401203E-01  1.995223831493097E+00  2.539537307801549E+00  0.000000000000000E+00  1.098319580446488E-06  2.947423038899163E-07  6.404451851371071E-08  2.068210272077555E-01
  2.043410952676370E-01  5.968223626473789E-02  8.340366390355600E-01  4.977717178166122E-02  3.328610479224328E+00  1.675103774004266E+00  0.000000000000000E+00  2.383376265867155E-01  1.981463332792438E+00  2.540581656734629E+00  0.000000000000000E+00  1.109770135014184E-06  3.029266943280787E-07  6.505304240667615E-08  2.086274269944760E-01
  2.076777397561838E-01  5.906159189188145E-02  8.321753019643594E-01  4.914959810446989E-02  3.304509706440695E+00  1.674579411928221E+00  0.000000000000000E+00  2.397499110488738E-01  1.967717762194581E+00  2.541631121301573E+00  0.000000000000000E+00  1.120336175894582E-06  3.112972231350131E-07  6.608113920622923E-08  2.104229840149351E-01
  2.110176094198709E-01  5.844467951767765E-02  8.303361226321883E-01  4.852872861700662E-02  3.280425131903732E+00  1.674056476776931E+00  0.000000000000000E+00  2.411354662197521E-01  1.953975977107777E+00  2.542680064102477E+00  0.000000000000000E+00  1.131056591164073E-06  3.197184128253805E-07  6.713017383245360E-08  2.122108720400143E-01
  2.143493086842081E-01  5.783368343910762E-02  8.285251063824338E-01  4.791665876884880E-02  3.256433475952884E+00  1.673531927781106E+00  0.000000000000000E+00  2.424899015994996E-01  1.940285729066504E+00  2.543732221682794E+00  0.000000000000000E+00  1.142078962896922E-06  3.282159117990729E-07  6.819679493929539E-08  2.139842300304346E-01
  2.176867053495930E-01  5.722612169581549E-02  8.267344346976085E-01  4.731080540766532E-02  3.232442226421066E+00  1.673008557303843E+00  0.000000000000000E+00  2.438200377824977E-01  1.926591113064785E+00  2.544784126565936E+00  0.000000000000000E+00  1.153384434036340E-06  3.367782620370665E-07  6.928572616833488E-08  2.157514867123759E-01
